iter	Passed	Remaining
734	191534	69150
735	191733	68867
736	191920	68580
737	192120	68297
738	192312	68012
739	192494	67724
740	192669	67434
741	192846	67144
742	193009	66851
743	193176	66558
744	193344	66267
745	193535	65984
746	193715	65697
747	193890	65408
748	194081	65126
749	194265	64841
750	194438	64553
751	194611	64265
752	194832	63994
753	195039	63717
754	195298	63459
755	195487	63177
756	195677	62896
757	195867	62615
758	196034	62327
759	196214	62044
760	196413	61766
761	196614	61490
762	196801	61209
763	196992	60930
764	197199	60656
765	197409	60383
766	197569	60096
767	197737	59811
768	197936	59535
769	198122	59256
770	198329	58983
771	198542	58712
772	198753	58441
773	198979	58175
774	199157	57894
775	199370	57624
776	199534	57340
777	199729	57065
778	199938	56794
779	200124	56517
780	200311	56241
781	200509	55968
782	200672	55685
783	200867	55411
784	201049	55134
785	201232	54858
786	201422	54584
787	201615	54310
788	201795	54034
789	201978	53758
790	202171	53485
791	202427	53230
792	202619	52957
793	202788	52678
794	203014	52415
795	203177	52136
796	203348	51858
797	203559	51592
798	203756	51322
799	203961	51054
800	204160	50784
801	204359	50515
802	204595	50256
803	204776	49982
804	204984	49716
805	205227	49458
806	205407	49185
807	205850	48975
808	206082	48715
809	206259	48441
810	206425	48165
811	206644	47902
812	206826	47631
813	207024	47363
814	207220	47095
815	207429	46830
816	207641	46566
817	207827	46296
818	208022	46029
819	208210	45760
820	208381	45488
821	208568	45219
822	208764	44953
823	208957	44685
824	209142	44417
825	209336	44150
826	209551	43889
827	209757	43625
828	209972	43363
829	210156	43095
830	210359	42832
831	210579	42572
832	211057	42363
833	211292	42106
834	211487	41840
835	211677	41574
836	211865	41308
837	212094	41050
838	212279	40784
839	212457	40516
840	212698	40260
841	212894	39996
842	213093	39733
843	213280	39468
844	213482	39205
845	213671	38941
846	213857	38676
847	214058	38414
848	214247	38150
849	214428	37884
850	214602	37618
851	214792	37355
852	214996	37094
853	215169	36828
854	215364	36566
855	215552	36303
856	215736	36040
857	215911	35775
858	216108	35514
859	216277	35249
860	216466	34987
861	216652	34724
862	216834	34462
863	217032	34202
864	217215	33939
865	217386	33676
866	217550	33411
867	217728	33148
868	217930	32890
869	218152	32635
870	218343	32375
871	218528	32114
872	218724	31855
873	218910	31595
874	219104	31336
875	219300	31078
876	219473	30816
877	219648	30555
878	219841	30297
879	220034	30038
880	220225	29780
881	220410	29521
882	220596	29262
883	220789	29005
884	220976	28746
885	221161	28488
886	221333	28228
887	221536	27973
888	221780	27722
889	221988	27467
890	222149	27207
891	222333	26949
892	222525	26693
893	222731	26438
894	222922	26182
895	223112	25925
896	223300	25669
897	223486	25413
898	223649	25154
899	224051	24922
900	224241	24666
901	224407	24408
902	224590	24152
903	224769	23895
904	224943	23638
905	225121	23382
906	225314	23128
907	225585	22881
908	225869	22636
909	226066	22382
910	226262	22129
911	226452	21874
912	226663	21622
913	226886	21371
914	227078	21117
915	227306	20867
916	227481	20612
917	227665	20358
918	227845	20103
919	228066	19853
920	228239	19598
921	228421	19345
922	228589	19090
923	228750	18835
924	228925	18581
925	229109	18328
926	229282	18075
927	229476	17823
928	229664	17571
929	229855	17319
930	230053	17068
931	230232	16816
932	230397	16562
933	230559	16309
934	230730	16057
935	230912	15805
936	231102	15554
937	231308	15305
938	231494	15054
939	231671	14803
940	231853	14552
941	232019	14300
942	232233	14052
943	232420	13802
944	232611	13552
945	232802	13302
946	232977	13052
947	233176	12803
948	233358	12554
949	233550	12305
950	233744	12056
951	233936	11807
952	234133	11559
953	234308	11309
954	234491	11060
955	234684	10812
956	234869	10564
957	235059	10316
958	235285	10069
959	235466	9821
960	235650	9573
961	235817	9324
962	235985	9076
963	236174	8828
964	236345	8580
965	236540	8334
966	236734	8087
967	236904	7839
968	237070	7592
969	237234	7344
970	237424	7098
971	237618	6852
972	237811	6605
973	237997	6359
974	238169	6113
975	238364	5867
976	238531	5621
977	238694	5374
978	238872	5129
979	239039	4883
980	239213	4637
981	239387	4392
982	239567	4147
983	239778	3902
984	239967	3658
985	240155	3413
986	240327	3168
987	240508	2924
988	240689	2679
989	240868	2435
990	241068	2191
991	241266	1947
992	241446	1703
993	241620	1459
994	241831	1216
995	242022	972
996	242181	729
997	242374	486
998	242563	243
999	242783	0
